name	country	country_labeled
PQ113941.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113953.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113961.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113969.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113977.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113985.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113993.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114001.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114009.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114017.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114025.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114033.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114041.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114049.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114057.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114065.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114073.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114081.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ114089.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ051474.1	USA	USA
PQ011283.1	USA	USA
PP786400.1	Brazil	Brazil
OR839997.1	Brazil	Brazil
OR844540.1	Brazil	Brazil
OR852415.1	Brazil	Brazil
OR853704.1	Brazil	Brazil
OR853751.1	Brazil	Brazil
OR857851.1	Brazil	Brazil
OR860361.1	Brazil	Brazil
OR878088.1	Brazil	Brazil
OR881253.1	Brazil	Brazil
OR889491.1	Brazil	Brazil
PP386940.1	Brazil	Brazil
PP390166.1	Brazil	Brazil
PP768250.1	Brazil	Brazil
PP768660.1	Brazil	Brazil
PP769614.1	Brazil	Brazil
PP769739.1	Brazil	Brazil
PP776752.1	Brazil	Brazil
PP777458.1	Brazil	Brazil
PP778505.1	Brazil	Brazil
PP779060.1	Brazil	Brazil
PP779933.1	Brazil	Brazil
PP780174.1	Brazil	Brazil
PP780446.1	Brazil	Brazil
PP782205.1	Brazil	Brazil
PP782339.1	Brazil	Brazil
PP785021.1	Brazil	Brazil
PP829625.1	Chile	Chile
PP829694.1	Chile	Chile
PP829699.1	Chile	Chile
PP829708.1	Chile	Chile
PP829711.1	Chile	Chile
PP829775.1	Chile	Chile
PP829958.1	Chile	Chile
PP829968.1	Chile	Chile
PP692235.1	Peru	Peru (other)
PP796346.1	Chile	Chile
PP799744.1	Chile	Chile
PP799753.1	Chile	Chile
PP799761.1	Chile	Chile
PP799771.1	Chile	Chile
PP799803.1	Chile	Chile
PP785567.1	Chile	Chile
PP785576.1	Chile	Chile
PP785586.1	Chile	Chile
PP785596.1	Chile	Chile
PP785700.1	Chile	Chile
PP785712.1	Chile	Chile
PP785716.1	Chile	Chile
PP777983.1	Chile	Chile
PP778673.1	Chile	Chile
PP757802.1	Chile	Chile
PP757806.1	Chile	Chile
PP757817.1	Chile	Chile
PP757826.1	Chile	Chile
PP757830.1	Chile	Chile
PP757839.1	Chile	Chile
PP757851.1	Chile	Chile
PP757858.1	Chile	Chile
PP757866.1	Chile	Chile
PP757903.1	Chile	Chile
PP757909.1	Chile	Chile
PP758145.1	Chile	Chile
PP758168.1	Chile	Chile
OR912282.1	Uruguay	Uruguay
OR912283.1	Uruguay	Uruguay
OR912284.1	Uruguay	Uruguay
OR912285.1	Uruguay	Uruguay
OR912286.1	Uruguay	Uruguay
OR912287.1	Uruguay	Uruguay
OR912288.1	Uruguay	Uruguay
OR912289.1	Uruguay	Uruguay
OR912290.1	Uruguay	Uruguay
OR912291.1	Uruguay	Uruguay
OR912292.1	Uruguay	Uruguay
OR912293.1	Uruguay	Uruguay
OR912294.1	Uruguay	Uruguay
OR912295.1	Uruguay	Uruguay
OR912354.1	Uruguay	Uruguay
OR912362.1	Uruguay	Uruguay
PP691949.1	USA	USA
PP576859.1	USA	USA
OR987084.1	Argentina	Argentina
OR987092.1	Argentina	Argentina
OR987100.1	Argentina	Argentina
OR987108.1	Argentina	Argentina
OR987116.1	Argentina	Argentina
OR987124.1	Argentina	Argentina
PP378130.1	Chile	Chile
PP094671.1	Brazil	Brazil
PP094679.1	Brazil	Brazil
OK022351.1	France	France
OK022519.1	France	France
OK022527.1	France	France
OK022551.1	France	France
OK022583.1	France	France
OR979599.1	Chile	Chile
OR979619.1	Chile	Chile
OR979626.1	Chile	Chile
OR960975.1	Chile	Chile
OR960980.1	Chile	Chile
OR960985.1	Chile	Chile
OR960992.1	Chile	Chile
OR960998.1	Chile	Chile
OR961005.1	Chile	Chile
OR961011.1	Chile	Chile
OR961083.1	Chile	Chile
OR961095.1	Chile	Chile
OR961102.1	Chile	Chile
OR961108.1	Chile	Chile
OR910145.1	Chile	Chile
OR910153.1	Chile	Chile
