name	title	country	host	date
KM368290.1	Influenza A virus (A/chicken/Mexico/0867-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-04-XX
KM368291.1	Influenza A virus (A/chicken/Hidalgo/1336-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-04-XX
KM368293.1	Influenza A virus (A/chicken/Coahuila/1792-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KM368296.1	Influenza A virus (A/chicken/Chiapas/0681-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-12-XX
KM368297.1	Influenza A virus (A/chicken/Mexico/831-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-04-XX
KM368298.1	Influenza A virus (A/chicken/Mexico/876-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-04-XX
KM368300.1	Influenza A virus (A/chicken/Coahuila/2936-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KM368303.1	Influenza A virus (A/chicken/Aguascalientes/4244-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KM368305.1	Influenza A virus (A/chicken/Durango/1348-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-02-XX
KM368306.1	Influenza A virus (A/chicken/Durango/2238-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KM368307.1	Influenza A virus (A/chicken/Durango/2393-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KM368308.1	Influenza A virus (A/chicken/Durango/2880-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-03-XX
KJ511812.1	Influenza A virus (A/waterfowl/Korea/S005/2014(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Anatidae	2014-02-15
