name	title	country	host	date
CY081032.1	Influenza A virus (A/chicken/Vietnam/2/2010(H5N1)) segment 4 sequence	Viet Nam	Gallus gallus	2010-02-02
CY081033.1	Influenza A virus (A/duck/Vietnam/8/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-02-12
CY081034.1	Influenza A virus (A/duck/Vietnam/7/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-02-17
CY081036.1	Influenza A virus (A/quail/Vietnam/1/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Galliformes	2010-02-23
CY081037.1	Influenza A virus (A/chicken/Vietnam/5/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Gallus gallus	2010-02-25
CY081038.1	Influenza A virus (A/chicken/Vietnam/3/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Gallus gallus	2010-02-25
CY081039.1	Influenza A virus (A/duck/Vietnam/9/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-03-06
CY081040.1	Influenza A virus (A/duck/Vietnam/10/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-03-06
JF357720.1	Influenza A virus (A/chicken/Egypt/F7/2009(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Egypt	Gallus gallus	2009-03-17
AB617579.1	Influenza A virus (A/peregrine falcon/Tochigi/15/2011(H5N1)) viral cRNA, segment 4, complete sequence	Japan		2011-02-XX
JF302895.1	Influenza A virus (A/chicken/Indonesia/SmiWN18/2009(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Gallus gallus	2009-11-22
GU454581.1	Influenza A virus (A/chicken/Nandurbar/7966/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	India	Gallus gallus	2006-02-XX
CY080507.1	Influenza A virus (A/turkey/Wisconsin/1/1968(H5N9)) hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	1968-06-11
HM998867.1	Influenza A virus (A/chicken/Mexico/1-M4/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-01-XX
HM998868.1	Influenza A virus (A/chicken/Mexico/2-M5/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-01-XX
HM998869.1	Influenza A virus (A/chicken/Mexico/3-M12/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-01-XX
HM998870.1	Influenza A virus (A/chicken/Mexico/4-M13/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-04-XX
HM998871.1	Influenza A virus (A/chicken/Mexico/5-M17/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-07-XX
HM998872.1	Influenza A virus (A/chicken/Mexico/6-M18/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-07-XX
HM998873.1	Influenza A virus (A/chicken/Mexico/7-M19/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-10-XX
HM998874.1	Influenza A virus (A/chicken/Mexico/8-20P/2002(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2002-10-XX
HM998875.1	Influenza A virus (A/chicken/Mexico/9-M6/2005(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2005-07-XX
HM998877.1	Influenza A virus (A/chicken/Mexico/11-M01/2005(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2005-01-XX
HM998878.1	Influenza A virus (A/chicken/Mexico/12-M05/2005(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2005-04-XX
HM998879.1	Influenza A virus (A/chicken/Mexico/13-01/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-03-XX
HM998880.1	Influenza A virus (A/chicken/Mexico/15-M02/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-03-XX
HM998881.1	Influenza A virus (A/chicken/Mexico/16-M03/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-03-XX
HM998882.1	Influenza A virus (A/chicken/Mexico/17-M04/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-06-XX
HM998883.1	Influenza A virus (A/chicken/Mexico/18-06/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-07-XX
HM998884.1	Influenza A virus (A/chicken/Mexico/19-07/2006(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2006-07-XX
HM998885.1	Influenza A virus (A/chicken/Mexico/21/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-01-XX
HM998886.1	Influenza A virus (A/chicken/Mexico/22/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-01-XX
HM998887.1	Influenza A virus (A/chicken/Mexico/23/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-04-XX
HM998888.1	Influenza A virus (A/chicken/Mexico/24/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-04-XX
HM998889.1	Influenza A virus (A/chicken/Mexico/25/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-04-XX
HM998890.1	Influenza A virus (A/chicken/Mexico/26/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-05-XX
HM998891.1	Influenza A virus (A/chicken/Mexico/27/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-05-XX
HM998892.1	Influenza A virus (A/chicken/Mexico/28/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-06-XX
HM998893.1	Influenza A virus (A/chicken/Mexico/29/2007(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2007-10-XX
HM998894.1	Influenza A virus (A/chicken/Mexico/31/2008(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2008-02-XX
HM998895.1	Influenza A virus (A/chicken/Mexico/32/2008(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2008-03-XX
HM998896.1	Influenza A virus (A/chicken/Mexico/33/2008(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds	Mexico	Gallus gallus	2008-03-XX
CY079452.1	Influenza A virus (A/American black duck/Illinois/08OS2688/2008(H5N2)) segment 4, complete sequence	USA	Anas rubripes	2008-10-26
CY077685.1	Influenza A virus (A/duck/Victoria/26/1981(H5N2)) segment 4, complete sequence	Australia	Anatidae	1981-XX-XX
HQ664938.1	Influenza A virus (A/Cambodia/408008/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Homo sapiens	2005-04-07
HQ664946.1	Influenza A virus (A/chicken/Cambodia/022LC2b/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Gallus gallus	2005-02-08
HQ636434.1	Influenza A virus (A/chicken/Cambodia/013LC2b/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Gallus gallus	2005-XX-XX
HQ636435.1	Influenza A virus (A/chicken/Cambodia/022LC2b/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Cambodia	Gallus gallus	2005-XX-XX
HQ630838.1	Influenza A virus (A/grebe/Tyva/2/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Russia	Podiceps cristatus	2010-06-22
CY077110.1	Influenza A virus (A/ruddy turnstone/Delaware/103/2007(H5N1)) segment 4, complete sequence	USA	Arenaria interpres	2007-05-22
HQ606466.1	Influenza A virus (A/emu/Israel/552/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Israel	Dromaius novaehollandiae	2010-05-XX
CY076929.1	Influenza A virus (A/mallard/Sweden/74/2003(H5N2)) hemagglutinin (HA) gene, complete cds	Sweden	Anas platyrhynchos	2003-XX-XX
CY076937.1	Influenza A virus (A/mallard/Netherlands/65/2006(H5N3)) segment 4, complete sequence	Netherlands	Anas platyrhynchos	2006-XX-XX
AB558456.1	Influenza A virus (A/turkey/Ontario/7732/1966(H5N9)) HA gene for hemagglutinin, complete cds	Turkey	Meleagris gallopavo	1966-XX-XX
