name	title	country	host	date
PV112112.1	"Influenza A virus (A/Larus michahellis/Triboltingen/V0433/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus michahellis"	2024-12-06
PV112113.1	"Influenza A virus (A/Larus michahellis/Schaffhausen/V0455/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus michahellis"	2024-12-28
PV112122.1	"Influenza A virus (A/Cygnus olor/Bruegg/V0004/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Cygnus olor"	2025-01-05
PV112130.1	"Influenza A virus (A/Larus argentatus/Ermatingen/V0010/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus argentatus"	2025-01-01
PV112138.1	"Influenza A virus (A/Larus argentatus/Muensterlingen/V0011/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus argentatus"	2025-01-07
PV094493.1	"Influenza A virus (A/Duck/Bangladesh/CE-115-02-01-03-Du-O/2021(H5Nx)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2021-12-27
PV078494.1	"Influenza A virus (A/Mallard/Alberta/36/2024(H5N5)) clone H5 segment 4 hemagglutinin (HA) gene, complete cds"	Canada	"Anas platyrhynchos"	2024-08-14
PV070861.1	"Influenza A virus (A/Pheasant/KS/24-037794-009-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	Phasianinae	2024-12-16
PV071589.1	"Influenza A virus (A/cattle/CA/24-032425-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-10-30
PV059993.1	"Influenza A virus (A/Turkey/NE/24-036590-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2024-12-08
PP502509.1	"Influenza A virus (A/rosy-billed pochard/Argentina/CIP112-3449/2017(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Netta peposaca"	2017-06-14
PV033329.1	"Influenza A virus (A/England/0480160/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"United Kingdom"	"Homo sapiens"	2025-01-XX
PQ898024.1	"Influenza A virus (A/Mink/Spain/22VIR12774-14_3869-3-recombinant/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Spain	"Mustela lutreola"	2024-04-25
PQ881959.1	"Influenza A virus (A/Duck/Vientiane/C2422/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Laos	Anatidae	2023-07-17
PQ881967.1	"Influenza A virus (A/Duck/Vientiane/C2431/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Laos	Anatidae	2023-07-17
PQ881975.1	"Influenza A virus (A/Duck/Vientiane/C4369/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Laos	Anatidae	2023-12-15
PQ827677.1	"Influenza A virus (A/Duck/CA/24-036645-007-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	Anatidae	2024-12-05
PQ828453.1	"Influenza A virus (A/cattle/CA/24-027665-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-09-18
PQ832069.1	"Influenza A virus (A/cattle/MI/24-012377-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-04-23
