name	title	country	host	date
CY036237.1	Influenza A virus (A/great egret/Hong Kong/807/2008(H5N1)) segment 4 sequence	Hong Kong	Ardea alba	2008-XX-XX
CY036245.1	Influenza A virus (A/grey heron/Hong Kong/1046/2008(H5N1)) segment 4 sequence	Hong Kong	Ardea cinerea	2008-XX-XX
CY036253.1	Influenza A virus (A/magpie robin/Hong Kong/1097/2008(H5N1)) segment 4 sequence	Hong Kong	Copsychus	2008-XX-XX
CY036261.1	Influenza A virus (A/magpie robin/Hong Kong/1897/2008(H5N1)) segment 4 sequence	Hong Kong	Copsychus	2008-XX-XX
CY036269.1	Influenza A virus (A/peregrine falcon/Hong Kong/2142/2008(H5N1)) segment 4 sequence	Hong Kong	Falco peregrinus	2008-XX-XX
CY030255.1	Influenza A virus (A/chicken/Vietnam/NCVD-3/2007(H5N1)) segment 4 sequence	Viet Nam	Gallus gallus	2007-XX-XX
CY030287.1	Influenza A virus (A/duck/Vietnam/NCVD-7/2007(H5N1)) segment 4 sequence	Viet Nam	Anatidae	2007-XX-XX
CY030295.1	Influenza A virus (A/duck/Vietnam/NCVD-8/2007(H5N1)) segment 4 sequence	Viet Nam	Anatidae	2007-XX-XX
CY030327.1	Influenza A virus (A/duck/Vietnam/NCVD-12/2007(H5N1)) segment 4 sequence	Viet Nam	Anatidae	2007-XX-XX
CY030445.1	Influenza A virus (A/duck/Vietnam/NCVD-30/2007(H5N1)) segment 4 sequence	Viet Nam	Anatidae	2007-XX-XX
CY030469.1	Influenza A virus (A/duck/Laos/NCVD-35/2007(H5N1)) segment 4 sequence	Laos	Anatidae	2007-XX-XX
CY030477.1	Influenza A virus (A/pigeon/Laos/NCVD-36/2007(H5N1)) segment 4 sequence	Laos	Columbidae	2007-XX-XX
CY030485.1	Influenza A virus (A/chicken/Laos/NCVD-38/2007(H5N1)) segment 4 sequence	Laos	Gallus gallus	2007-XX-XX
