name	title	country	host	date
OR048385.1	"Influenza A virus (A/environment/Japan/KU-6e/2020(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds"	Japan		2020-12-21
OQ747758.1	"Influenza A virus (A/Peruvian_pelican/Peru/A074/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru		2022-11-XX
OQ747759.1	"Influenza A virus (A/Belcher's_gull/Peru/A102/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru		2022-11-XX
OQ747760.1	"Influenza A virus (A/Peruvian_pelican/Peru/A106/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru		2022-11-XX
OQ747761.1	"Influenza A virus (A/Belcher's_gull/Peru/A267/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru		2022-12-XX
OQ747762.1	"Influenza A virus (A/American kestrel/Peru/A273/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Falco sparverius"	2022-12-XX
OQ747763.1	"Influenza A virus (A/Western barn owl/Peru/A293/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru		2022-12-XX
OQ832505.2	"Influenza A virus (A/Andean Guayata/Argentina/A Argentina AndeanGuayata 140223(H5N1)/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Argentina		2023-02-11
OQ683458.1	"Influenza A virus (A/chicken/Colombia/Bolivar/3500/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Gallus gallus"	2022-11-08
OQ683466.1	"Influenza A virus (A/chicken/Colombia/Choco/3502/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Gallus gallus"	2022-11-13
OQ683474.1	"Influenza A virus (A/chicken/Colombia/Choco/3504/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Gallus gallus"	2022-11-01
OQ683482.1	"Influenza A virus (A/chicken/Colombia/Cordoba/3499/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Gallus gallus"	2022-11-26
OQ683490.1	"Influenza A virus (A/chicken/Colombia/Magdalena/3503/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Gallus gallus"	2022-11-18
OQ683498.1	"Influenza A virus (A/wild duck/Colombia/Choco/3501/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Colombia	"Anas platyrhynchos"	2022-10-09
OQ565628.1	"Influenza A virus (A/Pelecanus/Peru/VFAR-140/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	Pelecanus	2022-12-XX
LC625436.1	"Influenza A virus (A/environment/Hiroshima/T17-6/2020(H5N8)) viral cRNA, segment 4, complete sequence"	Japan		2020-12-07
LC627330.1	"Influenza A virus (A/water/Niigata/HY1116/2020) viral cRNA, segment 4, complete sequence"	Japan		2020-11-16
LC627362.1	"Influenza A virus (A/mallard/Miyazaki/4501C605/2021) viral cRNA, segment 4, complete sequence"	Japan	"Anas platyrhynchos"	2021-01-24
OQ458189.1	"Influenza A virus (A/Pelican/CHL/227023-1/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-07
OQ455396.1	"Influenza A virus (A/Pelican/CHL/226955-1/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-06
OQ455401.1	"Influenza A virus (A/Pelican/CHL/226955-3/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-06
OQ455410.1	"Influenza A virus (A/Pelican/CHL/226618-2/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-05
OQ455416.1	"Influenza A virus (A/Pelican/CHL/226618-1/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-05
OQ455422.1	"Influenza A virus (A/Pelican/CHL/226958-1/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-06
OQ455437.1	"Influenza A virus (A/Gull/CHL/227023-2/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Larus	2022-12-07
OQ455442.1	"Influenza A virus (A/Gull/CHL/227023-3/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Larus	2022-12-07
OQ455458.1	"Influenza A virus (A/Pelican/CHL/227087-1/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Pelecanus thagus"	2022-12-07
